CT1:de:static:35 ;Solitaire                                                                 ;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Solitaire...                                                                                                                                                                                                                                                                                                                                                                                                                         ;1) Klassische Chiffren
CT1:de:static:36 ;Spanische Strip-Chiffre                                                   ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;1) Klassische Chiffren
CT1:de:static:37 ;Substitution                                                              ;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Substitution / Atbash...                                                                                                                                                                                                                                                                                                                                                                                                             ;1) Klassische Chiffren
CT1:de:static:38 ;T-310\50                                                                  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;1) Klassische Chiffren
CT1:de:static:39 ;Templer                                                                   ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;1) Klassische Chiffren
CT1:de:static:40 ;Transposition (ein-stufige Spaltentransposition)                          ;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Permutation / Transposition...                                                                                                                                                                                                                                                                                                                                                                                                       ;1) Klassische Chiffren
CT1:de:static:41 ;Transposition (zwei-stufige Spaltentransposition) (Doppelwürfel)          ;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Permutation / Transposition...                                                                                                                                                                                                                                                                                                                                                                                                       ;1) Klassische Chiffren
CT1:de:static:42 ;Trithemius                                                                ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;1) Klassische Chiffren
CT1:de:static:43 ;Vernam                                                                    ;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Vernam / OTP...                                                                                                                                                                                                                                                                                                                                                                                                                      ;1) Klassische Chiffren
CT1:de:static:44 ;Vigenère                                                                  ;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Vigenère...                                                                                                                                                                                                                                                                                                                                                                                                                          ;1) Klassische Chiffren
CT1:de:static:45 ;XOR                                                                       ;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ XOR...                                                                                                                                                                                                                                                                                                                                                                                                                               ;1) Klassische Chiffren
CT1:de:static:47 ;3DES                                                                      ;X;Ver-/Entschlüsseln\Symmetrisch (modern)\ Triple DES...                                                                                                                                                                                                                                                                                                                                                                                                                           ;2) Moderne Chiffren
CT1:de:static:48 ;Achterbahn                                                                ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:49 ;AES                                                                       ;X;Ver-/Entschlüsseln\Symmetrisch (modern)\ AES (CBC)...<br/>Ver-/Entschlüsseln\Symmetrisch (modern)\ AES (selbstextrahierend)...                                                                                                                                                                                                                                                                                                                                                   ;2) Moderne Chiffren
CT1:de:static:50 ;Camellia                                                                  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:51 ;Cramer-Shoup                                                              ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:52 ;DES                                                                       ;X;Ver-/Entschlüsseln\Symmetrisch (modern)\ DES...                                                                                                                                                                                                                                                                                                                                                                                                                                  ;2) Moderne Chiffren
